Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
11,21,5,0,,,,287.0,0,0,0,0.0
11,22,5,0,,,,280.5,0,0,0,0.0
11,23,5,0,,,,281.0,0,0,0,0.0
11,24,5,0,,,,276.5,0,0,0,0.0
11,1,6,0,,,,276.0,0,0,0,0.0
11,2,6,0,,,,282.5,0,0,0,0.0
11,3,6,0,,,,284.0,0,0,0,0.0
11,4,6,0,,,,287.0,0,0,0,0.0
11,5,6,0,,,,293.5,0,0,0,0.0
11,6,6,0,,,,294.0,0,0,0,0.0
11,7,6,0,,,,302.0,0,0,0,0.0
11,8,6,0,,,,323.0,0,0,0,75.0
11,9,6,0,,,,345.5,0,0,0,345.0
11,10,6,0,,,,366.5,0,0,0,602.0
11,11,6,0,,,,359.5,0,0,0,710.0
11,12,6,0,,,,368.0,0,0,0,717.0
11,13,6,0,,,,359.0,0,0,0,692.0
11,14,6,0,,,,358.5,0,0,0,624.0
11,15,6,0,,,,356.5,0,0,0,425.0
11,16,6,0,,,,349.0,0,0,0,0.0
11,17,6,0,,,,337.5,0,0,0,0.0
11,18,6,0,,,,332.5,0,0,0,0.0
11,19,6,0,,,,314.5,0,0,0,0.0
11,20,6,0,,,,301.0,0,0,0,0.0
11,21,6,0,,,,280.5,0,0,0,0.0
11,22,6,0,,,,277.5,0,0,0,0.0
11,23,6,0,,,,274.0,0,0,0,0.0
11,24,6,0,,,,273.5,0,0,0,0.0
11,1,7,0,,,,272.5,0,0,0,0.0
11,2,7,0,,,,278.5,0,0,0,0.0
11,3,7,0,,,,278.0,0,0,0,0.0
11,4,7,0,,,,278.5,0,0,0,0.0
11,5,7,0,,,,279.0,0,0,0,0.0
11,6,7,0,,,,278.5,0,0,0,0.0
11,7,7,0,,,,288.0,0,0,0,0.0
11,8,7,0,,,,286.5,0,0,0,15.0
11,9,7,0,,,,289.0,0,0,0,147.0
11,10,7,0,,,,293.5,0,0,0,286.0
11,11,7,0,,,,297.0,0,0,0,342.0
11,12,7,0,,,,299.0,0,0,0,280.0
11,13,7,0,,,,290.0,0,0,0,305.0
11,14,7,0,,,,286.0,0,0,0,326.0
11,15,7,0,,,,284.0,0,0,0,146.0
11,16,7,0,,,,279.5,0,0,0,0.0
11,17,7,0,,,,279.5,0,0,0,0.0
11,18,7,0,,,,281.0,0,0,0,0.0
11,19,7,0,,,,279.0,0,0,0,0.0
11,20,7,0,,,,276.0,0,0,0,0.0
11,21,7,0,,,,267.5,0,0,0,0.0
11,22,7,0,,,,267.5,0,0,0,0.0
11,23,7,0,,,,270.0,0,0,0,0.0
11,24,7,0,,,,270.0,0,0,0,0.0
11,1,1,0,,,,266.0,0,0,0,0.0
11,2,1,0,,,,272.0,0,0,0,0.0
11,3,1,0,,,,273.0,0,0,0,0.0
11,4,1,0,,,,273.0,0,0,0,0.0
11,5,1,0,,,,272.5,0,0,0,0.0
11,6,1,0,,,,271.5,0,0,0,0.0
11,7,1,0,,,,274.0,0,0,0,0.0
11,8,1,0,,,,273.0,0,0,0,32.0
11,9,1,0,,,,272.0,0,0,0,279.0
11,10,1,0,,,,279.5,0,0,0,404.0
11,11,1,0,,,,280.5,0,0,0,481.0
11,12,1,0,,,,273.5,0,0,0,479.0
11,13,1,0,,,,278.5,0,0,0,424.0
11,14,1,0,,,,278.5,0,0,0,266.0
11,15,1,0,,,,286.0,0,0,0,88.0
11,16,1,0,,,,285.5,0,0,0,0.0
11,17,1,0,,,,284.0,0,0,0,0.0
11,18,1,0,,,,283.5,0,0,0,0.0
11,19,1,0,,,,284.5,0,0,0,0.0
11,20,1,0,,,,279.5,0,0,0,0.0
11,21,1,0,,,,273.5,0,0,0,0.0
11,22,1,0,,,,274.0,0,0,0,0.0
11,23,1,0,,,,272.5,0,0,0,0.0
11,24,1,0,,,,271.5,0,0,0,0.0
11,1,2,0,,,,271.5,0,0,0,0.0
11,2,2,0,,,,276.5,0,0,0,0.0
11,3,2,0,,,,280.5,0,0,0,0.0
11,4,2,0,,,,286.5,0,0,0,0.0
11,5,2,0,,,,289.0,0,0,0,0.0
11,6,2,0,,,,287.5,0,0,0,0.0
11,7,2,0,,,,301.0,0,0,0,0.0
11,8,2,0,,,,328.0,0,0,0,4.0
11,9,2,0,,,,346.0,0,0,0,42.0
11,10,2,0,,,,366.5,0,0,0,127.0
11,11,2,0,,,,370.5,0,0,0,195.0
11,12,2,0,,,,357.0,0,0,0,137.0
11,13,2,0,,,,361.0,0,0,0,60.0
11,14,2,0,,,,363.5,0,0,0,23.0
11,15,2,0,,,,362.5,0,0,0,3.0
11,16,2,0,,,,360.5,0,0,0,0.0
11,17,2,0,,,,350.0,0,0,0,0.0
11,18,2,0,,,,340.5,0,0,0,0.0
11,19,2,0,,,,335.0,0,0,0,0.0
11,20,2,0,,,,314.5,0,0,0,0.0
11,21,2,0,,,,294.5,0,0,0,0.0
11,22,2,0,,,,287.5,0,0,0,0.0
11,23,2,0,,,,286.5,0,0,0,0.0
11,24,2,0,,,,282.5,0,0,0,0.0
11,1,3,0,,,,279.0,0,0,0,0.0
11,2,3,0,,,,284.5,0,0,0,0.0
11,3,3,0,,,,286.0,0,0,0,0.0
11,4,3,0,,,,289.0,0,0,0,0.0
11,5,3,0,,,,296.5,0,0,0,0.0
11,6,3,0,,,,301.5,0,0,0,0.0
11,7,3,0,,,,311.5,0,0,0,0.0
11,8,3,0,,,,327.0,0,0,0,30.0
11,9,3,0,,,,349.0,0,0,0,274.0
11,10,3,0,,,,371.5,0,0,0,621.0
11,11,3,0,,,,371.5,0,0,0,717.0
11,12,3,0,,,,368.5,0,0,0,700.0
11,13,3,0,,,,358.5,0,0,0,559.0
11,14,3,0,,,,370.0,0,0,0,270.0
11,15,3,0,,,,361.5,0,0,0,44.0
11,16,3,0,,,,369.0,0,0,0,0.0
11,17,3,0,,,,347.0,0,0,0,0.0
11,18,3,0,,,,342.0,0,0,0,0.0
11,19,3,0,,,,330.0,0,0,0,0.0
11,20,3,0,,,,311.0,0,0,0,0.0
11,21,3,0,,,,291.5,0,0,0,0.0
11,22,3,0,,,,282.5,0,0,0,0.0
11,23,3,0,,,,281.0,0,0,0,0.0
11,24,3,0,,,,277.0,0,0,0,0.0
11,1,4,0,,,,277.5,0,0,0,0.0
11,2,4,0,,,,282.5,0,0,0,0.0
11,3,4,0,,,,285.5,0,0,0,0.0
11,4,4,0,,,,287.5,0,0,0,0.0
11,5,4,0,,,,296.0,0,0,0,0.0
11,6,4,0,,,,301.0,0,0,0,0.0
11,7,4,0,,,,311.0,0,0,0,0.0
11,8,4,0,,,,326.5,0,0,0,1.0
11,9,4,0,,,,345.5,0,0,0,15.0
11,10,4,0,,,,362.5,0,0,0,37.0
11,11,4,0,,,,369.0,0,0,0,55.0
11,12,4,0,,,,367.5,0,0,0,75.0
11,13,4,0,,,,366.0,0,0,0,77.0
11,14,4,0,,,,374.5,0,0,0,67.0
11,15,4,0,,,,360.0,0,0,0,20.0
11,16,4,0,,,,356.5,0,0,0,0.0
11,17,4,0,,,,354.5,0,0,0,0.0
11,18,4,0,,,,346.5,0,0,0,0.0
11,19,4,0,,,,332.5,0,0,0,0.0
11,20,4,0,,,,314.5,0,0,0,0.0
11,21,4,0,,,,294.5,0,0,0,0.0
11,22,4,0,,,,287.0,0,0,0,0.0
11,23,4,0,,,,282.5,0,0,0,0.0
11,24,4,0,,,,281.0,0,0,0,0.0
11,1,5,0,,,,282.5,0,0,0,0.0
11,2,5,0,,,,287.5,0,0,0,0.0
11,3,5,0,,,,282.5,0,0,0,0.0
11,4,5,0,,,,284.0,0,0,0,0.0
11,5,5,0,,,,290.0,0,0,0,0.0
11,6,5,0,,,,294.0,0,0,0,0.0
11,7,5,0,,,,302.5,0,0,0,0.0
11,8,5,0,,,,318.0,0,0,0,36.0
11,9,5,0,,,,334.0,0,0,0,156.0
11,10,5,0,,,,349.0,0,0,0,233.0
11,11,5,0,,,,367.5,0,0,0,292.0
11,12,5,0,,,,363.0,0,0,0,261.0
11,13,5,0,,,,363.5,0,0,0,133.0
11,14,5,0,,,,366.5,0,0,0,49.0
11,15,5,0,,,,361.0,0,0,0,11.0
11,16,5,0,,,,360.5,0,0,0,0.0
11,17,5,0,,,,349.5,0,0,0,0.0
11,18,5,0,,,,336.0,0,0,0,0.0
11,19,5,0,,,,317.0,0,0,0,0.0
11,20,5,0,,,,304.5,0,0,0,0.0
11,21,5,0,,,,291.5,0,0,0,0.0
11,22,5,0,,,,285.5,0,0,0,0.0
11,23,5,0,,,,283.0,0,0,0,0.0
11,24,5,0,,,,280.0,0,0,0,0.0
12,1,6,0,,,,278.0,0,0,0,0.0
12,2,6,0,,,,285.5,0,0,0,0.0
12,3,6,0,,,,286.0,0,0,0,0.0
12,4,6,0,,,,287.0,0,0,0,0.0
12,5,6,0,,,,294.0,0,0,0,0.0
12,6,6,0,,,,295.5,0,0,0,0.0
12,7,6,0,,,,303.0,0,0,0,0.0
12,8,6,0,,,,317.5,0,0,0,13.0
12,9,6,0,,,,340.5,0,0,0,127.0
12,10,6,0,,,,361.0,0,0,0,301.0
12,11,6,0,,,,361.5,0,0,0,405.0
12,12,6,0,,,,356.0,0,0,0,415.0
12,13,6,0,,,,353.0,0,0,0,370.0
12,14,6,0,,,,352.5,0,0,0,164.0
12,15,6,0,,,,350.0,0,0,0,41.0
12,16,6,0,,,,343.5,0,0,0,0.0
12,17,6,0,,,,340.0,0,0,0,0.0
12,18,6,0,,,,330.0,0,0,0,0.0
12,19,6,0,,,,317.5,0,0,0,0.0
12,20,6,0,,,,301.0,0,0,0,0.0
12,21,6,0,,,,276.0,0,0,0,0.0
12,22,6,0,,,,272.5,0,0,0,0.0
12,23,6,0,,,,272.0,0,0,0,0.0
12,24,6,0,,,,271.5,0,0,0,0.0
12,1,7,0,,,,270.0,0,0,0,0.0
12,2,7,0,,,,275.5,0,0,0,0.0
12,3,7,0,,,,276.5,0,0,0,0.0
12,4,7,0,,,,276.5,0,0,0,0.0
12,5,7,0,,,,275.0,0,0,0,0.0
12,6,7,0,,,,274.5,0,0,0,0.0
12,7,7,0,,,,283.0,0,0,0,0.0
12,8,7,0,,,,288.5,0,0,0,7.0
12,9,7,0,,,,292.0,0,0,0,53.0
12,10,7,0,,,,293.5,0,0,0,105.0
12,11,7,0,,,,296.0,0,0,0,135.0
12,12,7,0,,,,303.5,0,0,0,131.0
12,13,7,0,,,,292.5,0,0,0,108.0
12,14,7,0,,,,286.0,0,0,0,40.0
12,15,7,0,,,,284.5,0,0,0,3.0
12,16,7,0,,,,280.5,0,0,0,0.0
12,17,7,0,,,,279.0,0,0,0,0.0
12,18,7,0,,,,277.5,0,0,0,0.0
12,19,7,0,,,,279.0,0,0,0,0.0
12,20,7,0,,,,278.5,0,0,0,0.0
12,21,7,0,,,,268.0,0,0,0,0.0
12,22,7,0,,,,270.5,0,0,0,0.0
12,23,7,0,,,,270.0,0,0,0,0.0
12,24,7,0,,,,266.5,0,0,0,0.0
12,1,1,0,,,,265.5,0,0,0,0.0
12,2,1,0,,,,272.5,0,0,0,0.0
12,3,1,0,,,,275.5,0,0,0,0.0
12,4,1,0,,,,273.0,0,0,0,0.0
12,5,1,0,,,,272.0,0,0,0,0.0
12,6,1,0,,,,273.0,0,0,0,0.0
12,7,1,0,,,,274.5,0,0,0,0.0
12,8,1,0,,,,273.0,0,0,0,1.0
12,9,1,0,,,,273.0,0,0,0,19.0
12,10,1,0,,,,278.5,0,0,0,58.0
12,11,1,0,,,,280.5,0,0,0,94.0
12,12,1,0,,,,282.5,0,0,0,163.0
12,13,1,0,,,,279.0,0,0,0,277.0
12,14,1,0,,,,281.5,0,0,0,196.0
12,15,1,0,,,,280.5,0,0,0,48.0
12,16,1,0,,,,281.0,0,0,0,0.0
12,17,1,0,,,,285.5,0,0,0,0.0
12,18,1,0,,,,284.5,0,0,0,0.0
12,19,1,0,,,,281.0,0,0,0,0.0
12,20,1,0,,,,281.0,0,0,0,0.0
12,21,1,0,,,,273.5,0,0,0,0.0
12,22,1,0,,,,269.5,0,0,0,0.0
12,23,1,0,,,,267.5,0,0,0,0.0
12,24,1,0,,,,265.5,0,0,0,0.0
12,1,2,0,,,,267.5,0,0,0,0.0
12,2,2,0,,,,273.0,0,0,0,0.0
12,3,2,0,,,,277.0,0,0,0,0.0
12,4,2,0,,,,282.5,0,0,0,0.0
12,5,2,0,,,,288.0,0,0,0,0.0
12,6,2,0,,,,294.5,0,0,0,0.0
12,7,2,0,,,,299.0,0,0,0,0.0
12,8,2,0,,,,314.0,0,0,0,0.0
12,9,2,0,,,,337.0,0,0,0,14.0
12,10,2,0,,,,368.0,0,0,0,57.0
12,11,2,0,,,,375.0,0,0,0,97.0
12,12,2,0,,,,361.0,0,0,0,126.0
12,13,2,0,,,,359.0,0,0,0,118.0
12,14,2,0,,,,366.0,0,0,0,96.0
12,15,2,0,,,,362.0,0,0,0,27.0
12,16,2,0,,,,363.5,0,0,0,0.0
12,17,2,0,,,,347.5,0,0,0,0.0
12,18,2,0,,,,340.5,0,0,0,0.0
12,19,2,0,,,,324.5,0,0,0,0.0
12,20,2,0,,,,304.0,0,0,0,0.0
12,21,2,0,,,,285.0,0,0,0,0.0
12,22,2,0,,,,280.5,0,0,0,0.0
12,23,2,0,,,,279.0,0,0,0,0.0
12,24,2,0,,,,274.5,0,0,0,0.0
12,1,3,0,,,,275.0,0,0,0,0.0
12,2,3,0,,,,282.0,0,0,0,0.0
12,3,3,0,,,,281.5,0,0,0,0.0
12,4,3,0,,,,286.0,0,0,0,0.0
12,5,3,0,,,,294.0,0,0,0,0.0
12,6,3,0,,,,297.0,0,0,0,0.0
12,7,3,0,,,,308.5,0,0,0,0.0
12,8,3,0,,,,318.0,0,0,0,3.0
12,9,3,0,,,,344.0,0,0,0,38.0
12,10,3,0,,,,359.0,0,0,0,102.0
12,11,3,0,,,,362.5,0,0,0,146.0
12,12,3,0,,,,373.0,0,0,0,176.0
12,13,3,0,,,,352.0,0,0,0,160.0
12,14,3,0,,,,360.5,0,0,0,86.0
12,15,3,0,,,,364.0,0,0,0,22.0
12,16,3,0,,,,351.0,0,0,0,0.0
12,17,3,0,,,,342.5,0,0,0,0.0
12,18,3,0,,,,333.5,0,0,0,0.0
12,19,3,0,,,,317.5,0,0,0,0.0
12,20,3,0,,,,300.5,0,0,0,0.0
12,21,3,0,,,,283.5,0,0,0,0.0
12,22,3,0,,,,274.5,0,0,0,0.0
12,23,3,0,,,,280.5,0,0,0,0.0
12,24,3,0,,,,271.0,0,0,0,0.0
12,1,4,0,,,,272.0,0,0,0,0.0
12,2,4,0,,,,279.0,0,0,0,0.0
12,3,4,0,,,,277.5,0,0,0,0.0
12,4,4,0,,,,285.5,0,0,0,0.0
12,5,4,0,,,,290.5,0,0,0,0.0
12,6,4,0,,,,293.5,0,0,0,0.0
12,7,4,0,,,,300.5,0,0,0,0.0
12,8,4,0,,,,324.0,0,0,0,40.0
12,9,4,0,,,,333.5,0,0,0,221.0
12,10,4,0,,,,350.5,0,0,0,316.0
12,11,4,0,,,,364.0,0,0,0,372.0
12,12,4,0,,,,354.0,0,0,0,444.0
12,13,4,0,,,,349.5,0,0,0,426.0
12,14,4,0,,,,354.5,0,0,0,282.0
12,15,4,0,,,,347.0,0,0,0,64.0
12,16,4,0,,,,349.0,0,0,0,0.0
12,17,4,0,,,,345.0,0,0,0,0.0
12,18,4,0,,,,331.5,0,0,0,0.0
12,19,4,0,,,,317.0,0,0,0,0.0
12,20,4,0,,,,300.5,0,0,0,0.0
12,21,4,0,,,,281.5,0,0,0,0.0
12,22,4,0,,,,277.5,0,0,0,0.0
12,23,4,0,,,,275.5,0,0,0,0.0
12,24,4,0,,,,275.5,0,0,0,0.0
12,1,5,0,,,,273.0,0,0,0,0.0
12,2,5,0,,,,280.5,0,0,0,0.0
12,3,5,0,,,,277.0,0,0,0,0.0
12,4,5,0,,,,280.5,0,0,0,0.0
12,5,5,0,,,,289.0,0,0,0,0.0
12,6,5,0,,,,292.0,0,0,0,0.0
12,7,5,0,,,,299.0,0,0,0,0.0
12,8,5,0,,,,319.5,0,0,0,1.0
12,9,5,0,,,,341.0,0,0,0,9.0
12,10,5,0,,,,356.0,0,0,0,12.0
12,11,5,0,,,,356.5,0,0,0,22.0
12,12,5,0,,,,349.5,0,0,0,86.0
12,13,5,0,,,,357.0,0,0,0,314.0
12,14,5,0,,,,348.0,0,0,0,180.0
12,15,5,0,,,,350.0,0,0,0,17.0
12,16,5,0,,,,347.5,0,0,0,0.0
12,17,5,0,,,,330.0,0,0,0,0.0
12,18,5,0,,,,324.5,0,0,0,0.0
12,19,5,0,,,,311.0,0,0,0,0.0
12,20,5,0,,,,293.5,0,0,0,0.0
12,21,5,0,,,,276.5,0,0,0,0.0
12,22,5,0,,,,270.0,0,0,0,0.0
12,23,5,0,,,,266.0,0,0,0,0.0
12,24,5,0,,,,264.5,0,0,0,0.0
12,1,6,0,,,,267.0,0,0,0,0.0
12,2,6,0,,,,272.5,0,0,0,0.0
12,3,6,0,,,,272.5,0,0,0,0.0
12,4,6,0,,,,280.5,0,0,0,0.0
12,5,6,0,,,,284.5,0,0,0,0.0
12,6,6,0,,,,288.5,0,0,0,0.0
12,7,6,0,,,,295.0,0,0,0,0.0
12,8,6,0,,,,311.5,0,0,0,22.0
12,9,6,0,,,,330.0,0,0,0,91.0
12,10,6,0,,,,347.5,0,0,0,175.0
12,11,6,0,,,,358.0,0,0,0,283.0
12,12,6,0,,,,350.5,0,0,0,308.0
12,13,6,0,,,,352.5,0,0,0,290.0
12,14,6,0,,,,352.5,0,0,0,189.0
12,15,6,0,,,,341.0,0,0,0,43.0
12,16,6,0,,,,336.5,0,0,0,0.0
12,17,6,0,,,,327.5,0,0,0,0.0
12,18,6,0,,,,322.5,0,0,0,0.0
12,19,6,0,,,,312.0,0,0,0,0.0
12,20,6,0,,,,293.5,0,0,0,0.0
12,21,6,0,,,,275.5,0,0,0,0.0
12,22,6,0,,,,267.5,0,0,0,0.0
12,23,6,0,,,,262.0,0,0,0,0.0
12,24,6,0,,,,260.0,0,0,0,0.0
12,1,7,0,,,,261.0,0,0,0,0.0
12,2,7,0,,,,268.0,0,0,0,0.0
12,3,7,0,,,,270.0,0,0,0,0.0
12,4,7,0,,,,270.0,0,0,0,0.0
12,5,7,0,,,,267.0,0,0,0,0.0
12,6,7,0,,,,267.0,0,0,0,0.0
12,7,7,0,,,,274.0,0,0,0,0.0
12,8,7,0,,,,281.0,0,0,0,19.0
12,9,7,0,,,,283.0,0,0,0,123.0
12,10,7,0,,,,286.5,0,0,0,141.0
12,11,7,0,,,,290.5,0,0,0,138.0
12,12,7,0,,,,294.5,0,0,0,111.0
12,13,7,0,,,,285.0,0,0,0,91.0
12,14,7,0,,,,282.5,0,0,0,73.0
12,15,7,0,,,,275.5,0,0,0,28.0
12,16,7,0,,,,276.0,0,0,0,0.0
12,17,7,0,,,,273.5,0,0,0,0.0
12,18,7,0,,,,276.0,0,0,0,0.0
12,19,7,0,,,,275.5,0,0,0,0.0
12,20,7,0,,,,273.0,0,0,0,0.0
12,21,7,0,,,,268.0,0,0,0,0.0
12,22,7,0,,,,264.5,0,0,0,0.0
12,23,7,0,,,,263.5,0,0,0,0.0
12,24,7,0,,,,264.0,0,0,0,0.0
12,1,1,0,,,,261.5,0,0,0,0.0
12,2,1,0,,,,268.5,0,0,0,0.0
12,3,1,0,,,,272.0,0,0,0,0.0
12,4,1,0,,,,271.5,0,0,0,0.0
12,5,1,0,,,,273.0,0,0,0,0.0
12,6,1,0,,,,270.5,0,0,0,0.0
12,7,1,0,,,,269.5,0,0,0,0.0
12,8,1,0,,,,268.5,0,0,0,0.0
12,9,1,0,,,,270.5,0,0,0,3.0
12,10,1,0,,,,271.0,0,0,0,9.0
12,11,1,0,,,,274.5,0,0,0,15.0
12,12,1,0,,,,275.0,0,0,0,17.0
12,13,1,0,,,,277.0,0,0,0,15.0
12,14,1,0,,,,275.0,0,0,0,7.0
12,15,1,0,,,,277.0,0,0,0,0.0
12,16,1,0,,,,277.0,0,0,0,0.0
12,17,1,0,,,,275.0,0,0,0,0.0
12,18,1,0,,,,276.5,0,0,0,0.0
12,19,1,0,,,,276.5,0,0,0,0.0
12,20,1,0,,,,270.5,0,0,0,0.0
12,21,1,0,,,,263.5,0,0,0,0.0
12,22,1,0,,,,259.5,0,0,0,0.0
12,23,1,0,,,,261.5,0,0,0,0.0
12,24,1,0,,,,260.0,0,0,0,0.0
12,1,2,0,,,,261.0,0,0,0,0.0
12,2,2,0,,,,266.5,0,0,0,0.0
12,3,2,0,,,,271.0,0,0,0,0.0
12,4,2,0,,,,278.0,0,0,0,0.0
12,5,2,0,,,,280.5,0,0,0,0.0
12,6,2,0,,,,282.5,0,0,0,0.0
12,7,2,0,,,,292.0,0,0,0,0.0
12,8,2,0,,,,311.0,0,0,0,0.0
12,9,2,0,,,,325.5,0,0,0,14.0
12,10,2,0,,,,352.0,0,0,0,26.0
12,11,2,0,,,,348.0,0,0,0,29.0
12,12,2,0,,,,339.5,0,0,0,24.0
12,13,2,0,,,,347.5,0,0,0,16.0
12,14,2,0,,,,342.0,0,0,0,8.0
12,15,2,0,,,,337.5,0,0,0,0.0
12,16,2,0,,,,345.5,0,0,0,0.0
12,17,2,0,,,,346.5,0,0,0,0.0
12,18,2,0,,,,330.5,0,0,0,0.0
12,19,2,0,,,,324.5,0,0,0,0.0
12,20,2,0,,,,308.0,0,0,0,0.0
12,21,2,0,,,,285.5,0,0,0,0.0
12,22,2,0,,,,281.0,0,0,0,0.0
12,23,2,0,,,,278.5,0,0,0,0.0
12,24,2,0,,,,276.5,0,0,0,0.0
12,1,3,0,,,,278.0,0,0,0,0.0
12,2,3,0,,,,282.5,0,0,0,0.0
12,3,3,0,,,,285.0,0,0,0,0.0
12,4,3,0,,,,287.5,0,0,0,0.0
12,5,3,0,,,,296.5,0,0,0,0.0
12,6,3,0,,,,299.5,0,0,0,0.0
12,7,3,0,,,,305.0,0,0,0,0.0
12,8,3,0,,,,316.0,0,0,0,19.0
12,9,3,0,,,,343.0,0,0,0,120.0
12,10,3,0,,,,364.5,0,0,0,299.0
12,11,3,0,,,,367.5,0,0,0,618.0
12,12,3,0,,,,365.5,0,0,0,625.0
12,13,3,0,,,,374.5,0,0,0,409.0
12,14,3,0,,,,363.5,0,0,0,160.0
12,15,3,0,,,,366.0,0,0,0,27.0
12,16,3,0,,,,355.5,0,0,0,0.0
12,17,3,0,,,,349.5,0,0,0,0.0
12,18,3,0,,,,341.0,0,0,0,0.0
12,19,3,0,,,,323.5,0,0,0,0.0
12,20,3,0,,,,310.0,0,0,0,0.0
12,21,3,0,,,,288.5,0,0,0,0.0
12,22,3,0,,,,285.5,0,0,0,0.0
12,23,3,0,,,,284.0,0,0,0,0.0
12,24,3,0,,,,281.0,0,0,0,0.0
12,1,4,0,,,,282.0,0,0,0,0.0
12,2,4,0,,,,290.5,0,0,0,0.0
12,3,4,0,,,,291.5,0,0,0,0.0
12,4,4,0,,,,292.5,0,0,0,0.0
12,5,4,0,,,,301.0,0,0,0,0.0
12,6,4,0,,,,303.5,0,0,0,0.0
12,7,4,0,,,,311.5,0,0,0,0.0
12,8,4,0,,,,329.5,0,0,0,0.0
12,9,4,0,,,,345.5,0,0,0,6.0
12,10,4,0,,,,371.5,0,0,0,24.0
12,11,4,0,,,,338.0,0,0,0,43.0
12,12,4,0,,,,347.5,0,0,0,46.0
12,13,4,0,,,,337.5,0,0,0,42.0
12,14,4,0,,,,328.0,0,0,0,19.0
12,15,4,0,,,,329.0,0,0,0,0.0
12,16,4,0,,,,336.0,0,0,0,0.0
12,17,4,0,,,,344.5,0,0,0,0.0
12,18,4,0,,,,322.5,0,0,0,0.0
12,19,4,0,,,,331.0,0,0,0,0.0
12,20,4,0,,,,309.0,0,0,0,0.0
12,21,4,0,,,,285.0,0,0,0,0.0
12,22,4,0,,,,279.0,0,0,0,0.0
12,23,4,0,,,,276.0,0,0,0,0.0
12,24,4,0,,,,272.5,0,0,0,0.0
12,1,5,0,,,,275.0,0,0,0,0.0
12,2,5,0,,,,281.5,0,0,0,0.0
12,3,5,0,,,,279.5,0,0,0,0.0
12,4,5,0,,,,283.5,0,0,0,0.0
12,5,5,0,,,,288.5,0,0,0,0.0
12,6,5,0,,,,292.5,0,0,0,0.0
12,7,5,0,,,,304.0,0,0,0,0.0
12,8,5,0,,,,318.5,0,0,0,31.0
12,9,5,0,,,,347.0,0,0,0,149.0
12,10,5,0,,,,366.5,0,0,0,225.0
12,11,5,0,,,,364.5,0,0,0,256.0
12,12,5,0,,,,363.0,0,0,0,271.0
12,13,5,0,,,,364.5,0,0,0,252.0
12,14,5,0,,,,358.5,0,0,0,169.0
12,15,5,0,,,,357.5,0,0,0,33.0
12,16,5,0,,,,359.0,0,0,0,0.0
12,17,5,0,,,,350.0,0,0,0,0.0
12,18,5,0,,,,340.5,0,0,0,0.0
12,19,5,0,,,,329.0,0,0,0,0.0
12,20,5,0,,,,311.5,0,0,0,0.0
12,21,5,0,,,,288.5,0,0,0,0.0
12,22,5,0,,,,283.0,0,0,0,0.0
12,23,5,0,,,,286.0,0,0,0,0.0
12,24,5,0,,,,282.0,0,0,0,0.0
12,1,6,0,,,,284.5,0,0,0,0.0
12,2,6,0,,,,290.0,0,0,0,0.0
12,3,6,0,,,,290.0,0,0,0,0.0
12,4,6,0,,,,293.0,0,0,0,0.0
12,5,6,0,,,,301.0,0,0,0,0.0
12,6,6,0,,,,303.5,0,0,0,0.0
12,7,6,0,,,,311.5,0,0,0,0.0
12,8,6,0,,,,322.5,0,0,0,2.0
12,9,6,0,,,,345.5,0,0,0,20.0
12,10,6,0,,,,363.0,0,0,0,39.0
12,11,6,0,,,,357.5,0,0,0,63.0
12,12,6,0,,,,358.5,0,0,0,76.0
12,13,6,0,,,,357.0,0,0,0,73.0
12,14,6,0,,,,352.5,0,0,0,55.0
12,15,6,0,,,,357.0,0,0,0,9.0
12,16,6,0,,,,348.0,0,0,0,0.0
12,17,6,0,,,,350.5,0,0,0,0.0
12,18,6,0,,,,340.5,0,0,0,0.0
12,19,6,0,,,,323.0,0,0,0,0.0
12,20,6,0,,,,310.0,0,0,0,0.0
12,21,6,0,,,,287.5,0,0,0,0.0
12,22,6,0,,,,284.0,0,0,0,0.0
12,23,6,0,,,,283.5,0,0,0,0.0
12,24,6,0,,,,282.0,0,0,0,0.0
12,1,7,0,,,,280.0,0,0,0,0.0
12,2,7,0,,,,286.5,0,0,0,0.0
12,3,7,0,,,,287.0,0,0,0,0.0
12,4,7,0,,,,285.0,0,0,0,0.0
12,5,7,0,,,,283.5,0,0,0,0.0
12,6,7,0,,,,284.0,0,0,0,0.0
12,7,7,0,,,,291.5,0,0,0,0.0
12,8,7,0,,,,300.5,0,0,0,12.0
12,9,7,0,,,,306.5,0,0,0,134.0
12,10,7,0,,,,309.5,0,0,0,289.0
12,11,7,0,,,,312.0,0,0,0,452.0
12,12,7,0,,,,310.0,0,0,0,512.0
12,13,7,0,,,,305.0,0,0,0,545.0
12,14,7,0,,,,299.0,0,0,0,350.0
12,15,7,0,,,,298.0,0,0,0,63.0
12,16,7,0,,,,294.5,0,0,0,0.0
12,17,7,0,,,,295.5,0,0,0,0.0
12,18,7,0,,,,294.5,0,0,0,0.0
12,19,7,0,,,,293.5,0,0,0,0.0
12,20,7,0,,,,294.5,0,0,0,0.0
12,21,7,0,,,,285.5,0,0,0,0.0
12,22,7,0,,,,283.5,0,0,0,0.0
